A b c	Bảng chữ cái
Disapprove	Chê
Disarming	Làm nguôi giận
Disastrous	Tai hại, thảm khốc
Disavow	Chối, không nhận
Disavowal	Lời chối
Disbelief	Sự không tin
Disburd	Bấm chồi, tỉa chồi
Disc	Vl đĩa, bản
Disc brake	Phanh dựa
Discarnate	Bị lóc hết thịt
Discentric	Lệch tâm
Discerning	Sâu sắc, sáng suốt
Discerp	Xé rời
Discharge	Sự phóng điện
Disciform	Dạng đĩa
Discipline	Kỷ luật
Discoid	Hình đựa
Discoidal	Có hình đĩa
Discoil	Hình đĩa
Discolor	Làm bạc màu
Discolour	Làm bạc màu
Discomfit	Đánh bại
Disconfirm	Phản đối
Discontent	Sự bất mãn
Discoruse	Biện luận
Discourse	Bài giảng đạo
Discover	Khám phá ra
Discrete	Rời rạc
Discretely	Riêng rẽ, rời rạc
Discrown	Truất ngôi
Disculpate	Gỡ tội cho
Discursion	Sự suy luận
Discuss	Thảo luận
Discussion	Sự thảo luận
Discussive	Quyết định
Disease	Bệnh, bệnh tật
Diseased	Mắc bệnh, đau ốm
Disembowel	Mổ bụng, moi ruột
Disembroil	Gỡ, gỡ mối
Disempower	Tước quyền
Disengage	Thả ra
Diseuse	Cũng diseur
Disgusted	Chán ghét, phẫn nộ
Disharmony	Sự không hoà hợp
Dished	Lõm lòng đĩa
Dishonor	Sự danh ô
Dishorn	Cắt sừng
Dishwater	Nước rửa bát
Disinfect	Tẩy uế
Disinherit	Tước quyền thừa kế
Disinvest	Thôi đầu tư
Disject	Rải rắc, gieo rắc
Disjointed	Bị tháo rời ra
Disjunct	Tách đoạn
Disleaf	Làm rụng hết lá
Disleave	Làm rụng hết lá
Dislocate	Làm hỏng, làm lệch
Dismally	U sầu, rầu rự
Dismask	Cởi mặt nạ
Dismast	Tháo dỡ cột buồm
Dismay	Sự mất hết can đảm
Dismember	Chặt chân tay
Dismissal	Sự giải tán
Dismissive	Thô bạo, tùy tiện
Disomatous	Có hai thể
Disordered	Lộn xộn, rối tung
Disorderly	Bừa bãi, lộn xộn
Disparate	Táp nham
Dispart	Chia, phân phối
Dispatch	Gửi đi, truyền đi
Dispensary	Trạm phát thuốc
Disperse	Tán xạ, tiêu tán
Dispersity	Độ phát tán
Dispersive	Phân tán
Dispirited	Chán nản, ngã lòng
Displace	Thế
Displeased	Bực mình, khó chịu
Disposal	Sự loại
Disposed	Sẵn sàng
Dispraise	Sự khiển trách
Disprove	Nhân chứng
Disputable	Không chắc
Disrepute	Tiếng xấu
Disroot	Nhổ rễ
Disruption	Sự gẫy vỡ
Dissect	Phân loại
Dissected	Bị cắt ra
Dissection	Sự phân chia
Dissert	Nội động từ
Dissertate	Nội động từ
Dissever	Chia cắt, phân chia
Dissidence	Mối bất đồng
Dissident	Chống đối, phản đối
Dissimilar	Không đồng dạng
Dissoluble	Hoà tan được
Dissolute	Chơi bời phóng đãng
Dissolvent	Làm tan ra
Dissonance	Tính không hoà tan
Distad	Hướng ra ngoài
Distain	Làm phai màu
Distal	Viễn tâm
Distance	Khoảng cách
Distant	Xa, cách, xa cách
Distantly	Lạnh nhạt, hững hờ
Distemper	Tình trạng khó ở
Distension	Sự căng phồng
Distich	Đoạn thơ hai câu
Distil	Chảy nhỏ giọt
Distill	Chảy nhỏ giọt
Distillery	Nhà máy cất
Distinctly	Riêng biệt
Distrait	Lãng trí, đãng trí
Distressed	Đau buồn
Distribute	Phân phối, phân bố
Disturb	Làm nhiễu loạn
Disturbed	Bị nhiễu loạn
Disused	Bị vứt bỏ
Disyllabic	Hai âm tiết
Disyllable	Từ hai âm tiết
Ditch	Hào, rãnh, mương
Ditheism	Thuyết hai thân
Ditty	Bài hát ngắn
Diurnal	Ban ngày
Diurnally	Vào ban ngày
Diva	Nữ danh ca
Divan	Đi văng, trường kỷ
Dive	Sự lặn
Diver	Người lặn
Diverge	Phân kỳ lệch
Divergence	Tính phân kỳ
Divergency	Sự phân kỳ
Divergent	Phân kỳ
Diverse	Khác nhau, khác
Diversion	Sự trệch đi
Diverter	Người giải trí
Diverting	Hay, vui, thú vị
Divest	Lột quần áo
Divestment	Sự lột quần áo
Divide	Chia, phân chia
Divination	Sự bói toán
Diving	Việc lặn dưới nước
Divinise	Thần thánh hoá
Divinity	Tính thần thánh
Divinize	Thần thánh hoá
Divisible	Chia được, chia hết
Division	Phép chia
Divisional	Chia, phân chia
Divisively	Chia rẽ, ly gián
Divorce	Sự ly dị
Divorced	Đã ly dị
Divorcee	Người ly dị chồng
Divorcé	Người ly dị vợ
Divorcée	Người ly dị chồng
Divulge	Để lộ ra, tiết lộ
Divulger	Người tiết lộ
Divulsion	Sự rứt
Dizain	Bài thơ mười câu
Djin	Thần đạo Ixlam
Doable	Có thể làm được
Dobbin	Ngựa cày
Docilely	Ngoan ngoãn, dễ bảo
Dockage	Thuế biển
Doctor	Bác sĩ y khoa
Doctorate	Học vị tiến sĩ
Doctoress	Nữ tiến sĩ
Doctorship	Danh vị tiến sĩ
Doctress	Nữ tiến sĩ
Dodderer	Người hậu đậu
Doddle	Việc dễ như bỡn
Dodecagyn	Cây mười hai nhụy
Dodeccagon	Hình mười hai cạnh
Dodger	Người lách
Does	Làm, thực hiện
Doeskin	Da hoãng
Dog collar	Vòng cổ xích chó
Dogal	Thuộc ông tổng trấn
Dogberry	Quả sơn thù du
Dogfight	Cuộc chó cắn nhau
Doggedly	Gan lì, bền chí
Doggerel	Thơ dở, thơ tồi, vè
Doggery	Đành chó
Doggie	Chó con
Doggy	Chó con
Doglight	Cuộc chó cắn nhau
Dogma	Giáo lý
Dogmata	Giáo lý
Dogmatic	Giáo lý
Dogmatics	Hệ giáo lý
Dogmatism	Chủ nghĩa giáo điều
Dogmatist	Người giáo điều
Dogrose	Hoa tầm xuân
Dogtrot	Bước chạy lon ton
Doit	Đồng xu
Doleful	Đau buồn, buồn khổ
Dolefully	U sầu, buồn thảm
Dolomitic	Thuộc đolomit
Dolomitize	Đôlomit hoá
Dolor	Nỗi buồn phiền
Dolose	Chủ tâm gây tội ác
Doltish	Ngu đần, đần độn
Domain	Miền, miền xác định
Domed	Hình vòm
Domelike	Giống vòm
Domicile	Nhà ở, nơi ở
Domiciled	Domiciled
Dominant	Trội, ưu thế
Dominate	Trội, ưu thế
Domination	Sự thống trị
Dompass	Cũng dompas
Dona	Đàn bà, ả, o
Donah	Đàn bà, ả, o
Donate	Quyên cúng
Donation	Sự quyên cúng
Donative	Để quyên cúng
Donee	Người nhận quà tặng
Don't	Điều cấm đoán
Dong	Phang
Donga	Hẽm, khe sâu
Donkey	Con lừa
Donnybrook	Cảnh huyên náo
Donor	Người quyên cúng
Doodle	Bức vẽ nguệch ngoạc
Doolan	Người công giáo
Dooms	Khủng khiếp
Doorframe	Khung cửa
Doorknob	Quả đấm cửa
Doornail	Đinh cửa
Doorstep	Ngưỡng cửa
Dope	Chất đặc quánh
Dormer	Cửa sổ ở mái nhà
Dormient	Đang ngủ
Dormitive	Làm người ta ngủ
Dorp	Làng Nam phi
Dorsal	Ở lưng, ở mặt lưng
Dorsigrade	Đi bằng mu bàn chân
Dosimeter	Cái đo liều lượng
Dosimetry	Phép đo liều lượng
Dosology	Phối tễ học
Doss house	Quán trọ, lữ điếm
Dossier	Hồ sơ
Dot prompt	Dấu nhắc chấm
Dottiness	Sự ngớ ngẩn
Dotty	Có chấm, lấm chấm
Douane	Thuế quan
Double bar	Thanh đôi
Double bed	Giường đôi
Doublet	Lưỡng cực
Doubly	Đôi, hai lần
Doubtful	Nghi ngờ, không rõ
Doubtfully	Nghi ngại, hồ nghi
Dough	Bột nhào
Doughiness	Tính mềm nhão
Doughnut	Bánh rán
Doughty	Gan góc
Doulogue	Cuộc đối thoại
Dove	Chim bồ câu
Dovecote	Chuồng bồ câu
Dovelet	Bồ câu ra ràng
Dowdy	Tồi tàn
Dowlas	Vải trúc bâu
Down	Xuống
Downflow	Vật trôi xuống dưới
Downhaul	Dây kéo buồm xuống
Downhill	Dốc xuống
Downland	Vùng đất thấp
Download	Viễn nạp
Downriver	Về phía cửa sông
Downstroke	Cú đánh giáng xuống
Downwind	Theo hướng gió thổi
Downy	Giống vùng đồi
Dowry	Của hồi môn
Doxy	Giáo lý
Doyenne	Người kỳ cựu nhất
Doyley	Miếng lót
Doze	Giấc ngủ ngắn lơ mơ
Dozen	Một tá
Dozenth	Thứ mười hai
Drab	Nâu xám
Drabbet	Vải thô, vải mộc
Drably	Buồn tẻ, ảm đạm
Drag	Trở lực
Drag net	Lưới vét
Drag race	Cuộc đua xe hơi
Dragon	Con rồng
Dragonfish	Cá miệng rộng
Dragonfly	Con chuồn chuồn
Dragonish	Giống như rồng
Dragster	Xe đua
Drainpipe	Ống thoat nước
Drank	Đồ uống, thức uống
Drape	Màn, rèm, trướng
Drapery	Vải vóc
Drat	Uộc khưới chết tiệt
Dratted	Uộc khưới chết tiệt
Draughty	Ở chỗ có gió lùa
Draw	Vẽ
Drawbar	Đòn kéo, thanh toán
Drawbridge	Cầu sắt
Drawhook	Móc kéo
Drawler	Người nói lè nhè
Dray horse	Ngựa kéo xe thồ
Dreadless	Can đảm
Dreadlocks	Tóc cuốn lọn dài
Dream	Giấc mơ, giấc mộng
Dream book	Sổ mơ
Dreamland	Xứ mơ, cõi mơ mộng
Dreamt	Giấc mơ, giấc mộng
Dreamworld	Thế giới mơ mộng
Drearily	Sầu thảm, ủ rũ
Dredger	Người đánh lưới vét
Dreggy	Có cặn, đầy cặn
Drenching	Sự làm ướt sũng
Dress	Quần áo
Dressage	Sự dạy ngựa
Dresser	Chạn bát đĩa
Dressiness	Sự diện sang
Dressing	Quần áo
Dressmaker	Thợ may áo đàn bà
Drey	Tổ sóc
Dribble	Dòng chảy nhỏ giọt
Dried	Sấy khô
Drier	Người phơi khô
Driftage	Sự trôi giạt
Drill	Máy khoan
Driller	Thợ khoan
Drillhole	Lỗ khoan
Drink	Đồ uống, thức uống
Drinkable	Có thể uống được
Drinkables	Thức uống
Drinker	Người uống
Drinking	Sự uống rượu
Drinks	Liên quan đến rượu
Drizzle	Mưa phùn, mưa bụi
Drollery	Trò khôi hài
Droningly	O o, vo ve
Drooping	Rũ xuống, gục xuống
Droopy	Ủ rũ
Drop	Rơi xuống
Droplet	Giọt nhỏ
Dropout	Chữ ngoài
Dropper	Ống nhỏ giọt
Droshky	Drosky
Dross	Xỉ, cứt sắt
Drossy	Có xỉ, đầy cứt sắt
Drought	Hạn hán
Droughty	Hạn hán
Drown	Chết đuối
Drowsily	Uể oải, thẫn thờ
Drowsiness	Tình trạng buồn ngủ
Drowsy	Buồn ngủ
Drubbing	Trận đòn đau
Drug	Thuốc, dược phẩm
Drugmaker	Người làm ma túy
Drugpusher	Người bán ma túy
Drum brake	Phanh trống
Drumbeat	Tiếng trống
Drumhead	Mặt trống, da trống
Drummer	Người đánh trống
Drumstick	Dùi trống
Drunk	Say rượu
Drunkard	Người say rượu
Drunken	Say rượu
Drunkenly	Say rượu
Dry eye	Khóc
Dry land	Đất liền
Dry milk	Sữa bột
Dry wash	Sự giặt không là
Dryer	Người phơi khô
Drying	Được dùng khô
Dryish	Hơi khô, khô khô
Dryite	Hoá thạch của gỗ
Drystone	Không cần hồ vữa
Dual	Đối ngẫu
Duality	Tính đối ngẫu
Dualize	Làm thành hai mặt
Duarchy	Nhị đầu chính trị
Dubiously	Hồ nghi, ngờ vực
Dubitable	Không chắc chắn
Dubitate	Lưỡng lự
Duchesse	Công tước phu nhân
Duchy	Đất công tước
Duck	Con vịt, vịt cái
Ducker	Người nuôi vịt
Ducking	Sự săn vịt trời
Duckling	Vịt con
Duct	Kênh
Ducting	Hệ thống các ống
Ductule	Tiểu quản
Duddie	Tả tơi
Duffel	Vải len thô
Duffle	Vải len thô
Dugout	Thuyền độc mộc
Duke	Công tước
Dukedom	Đất công tước
Dukeling	Con trai công tước
Dulcify	Làm dịu, làm êm dịu
Dully	Ngu đần, đần độn
Dumb	Câm, không nói
Dumbbell	Quả tạ
Dumbeller	Người tập tạ
Dumbhead	Người đần độn
Dumbly	Thin thít
Dumbness	Chứng câm
Dumbwaiter	Bàn xoay
Dumper	Người đổ rác
Dumpling	Bánh hấp
Dune	Cồn cát, đụn cát
Duneland	Vùng lắm cồn cát
Dunelike	Giống cồn cát
Dunghill	Đống phân
Dungy	Bẩn thỉu
Dunniness	Tình trạng điếc
Duodecagon	Hình mười hai cạnh
Duodecimal	Thập nhị phân
Duodecimo	Sách khổ mười hai
Duotone	Có hai màu
Dupe	Người bị bịp
Duper	Kẻ bịp, kẻ lừa bịp
Dupion	Sồi gộc
Duplet	Nhị tử
Duplex	Ghép cặp
Duplicate	Bản sao || tăng đôi
Duplicated	Lặp lại
Durable	Bền, lâu bền
Duration	Khoảng thời gian
Durian	Quả sầu riêng
During	Trong khi lúc
Durometer	Cái đo độ cứng
Durst	Sự dám làm
Dusk	Bóng tối
Duskish	Hơi tối, mờ mờ tối
Dusky	Tối, mờ tối
Dust	Bụi
Dustbin	Thùng rác
Duster	Khăn lau bụi
Dustiness	Vẻ bụi bặm
Dustman	Người hốt rác
Dustpan	Cái hót rác
Dusty	Bụi rậm, đầy bụi
Dutch oven	Lò quay
Duty	Nghĩa vụ, nhiệm vụ
Duvet	Chăn lông vịt
Dwarf	Còi cọc
Dwarfish	Còi cọc
Dwarfism	Còi cọc
Dweller	Người ở
Dwelling	Chỗ ở, nhà ở
Dyad	Điat
Dye vat	Thùng nhuộm
Dyeable	Có thể nhuộm được
Dyeing	Sự nhuộm
Dyer	Thợ nhuộm
Dying	Sự chết
Dynamics	Động lực học
Dynamist	Nhà động lực học
Dynamite	Đinamit
Dynamiting	Cách sử dụng điamit
Dyscrasia	Thể tạng kém
Dyslexia	Sự đọc khó
Dyslexic	Mắc chứng khó đọc
Dystopia	Sự lạc chỗ
Dystrophic	Thuộc sự loạn dưỡng
Each	Mỗi một
Eachother	Đt
Eagerness	Tính hám
Eagre	Triều dâng
Earache	Bệnh đau tai
Eardrop	Thuốc nhỏ tai
Eardrum	Màng nhự
Eared	Có đôi tai đặc biệt
Earless	Không có tai
Earliness	Lúc sớm sủa
Earlobe	Dái tai
Earlock	Món tóc bên tai
Earphones	Ống nghe
Earpiece	Ống nghe
Earplugs	Cái nút tai
Earring	Khuyên tai
Earshot	Tầm nghe
Earsure	Sự xoá, sự xoá bỏ
Earth	Quả đất
Earthquake	Sự động đất
Earthward	Về phía trái đất
Earthwards	Về phía trái đất
Earthwork	Công việc đào đắp
Earthworm	Giun đất
Earthy	Bằng đất
Easel	Giá bảng đen
Easeless	Không thoải mái
Eastbound	Về hướng đông
Easter	Lễ Phục sinh
Easterly	Đông
Eastern	Đông
Eastmost	Cực đông
Eastward	Hướng đông
Eastwardly	Đông
Easy	Dễ dàng, đơn giản
Easy chair	Ghế bành
Easygoing	Dễ tính, vô tâm
Eatable	Ăn ngon
Eatables	Đồ ăn
Eater	Người ăn
Eating	Sự ăn
Eaves	Mái chìa
Eavesdrop	Nghe trộm
Ebb tide	Triều xuống
Ebonite	Ebonit
Ebonize	Làm đen như gỗ mun
Ebony	Gỗ mun
Ebracteate	Không lá bắc
Ebrious	Thích say sưa
Ebullience	Sự sôi
Ebulliency	Sự sôi
Ebullient	Sôi, đang sôi
Ebullition	Sự sôi, sự sủi
Eburine	Ngà giả
Eburnated	Cứng như ngà voi
Ecaudate	Không có đuôi
Eccentric	Tâm sai
Eccrine	Nội tiết
Ecdysone	Ecdyson
Echinoid	Giống nhím biển
Echinulate	Có móc nhỏ
Echo	Tiếng vang
Echoless	Không có phản ứng
Echometer	Máy đo âm hưởng
Eclipse	Thiên thực
Ecoline	Cấp sinh thái
Ecologist	Nhà sinh thái học
Ecology	Sinh thái học
Economical	Tiét kiện
Economist	Nhà kinh tế học
Economizer	Người tiết kiệm
Economy	Nền kinh tế
Ecospecies	Loài sinh thái
Ecosphere	Sinh quyển
Ecosystem	Hệ sinh thái
Ecstasise	Làm mê li
Ecstasize	Làm mê li
Ecstasy	Trạng thái mê ly
Ecstatic	Dễ bị làm mê ly
Ectad	Hướng ra ngoài
Ectal	Ngoài
Ectedon	Biểu bì
Ectochrome	Sắc tố ngoại bào
Ectogenic	Ngoại sinh
Ectomere	Phôi bào ngoại bì
Ectopia	Sự lạc, lệch vị trí
Ectotherm	Động vật máu lạnh
Edacity	Tính tham ăn
Edaphalogy	Thổ nhưỡng học
Edaphology	Thổ nhưỡng học
Eddic	Eddaic
Edenic	Nơi cực lạc
Edental	Không có răng
Edentation	Sự thiếu răng
Edentulous	Không có răng
Edge	Cạnh biên
Edged	Sắc
Edgeless	Cùn
Edger	Dụng cụ để mài
Edgeways	Từ phía bên cạnh
Edgewise	Từ phía bên cạnh
Edibility	Tính có thể ăn được
Edibles	Thức ăn
Edict	Chỉ dụ, sắc lệnh
Edition	Sự xuất bản
Editor	Biên tập viên
Educated	Có giáo dục, có học
Educator	Thầy dạy
Eduction	Sự rút ra
Edulcorant	Chất làm dịu
Edulcorate	Làm ngọt, làm dịu
Eelfare	Đàn cá chình con
Eely	Giống như lươn
Eerie	Sợ sệt vì mê tín
Eerily	Kỳ lạ, kỳ quái
Eeriness	Sự sợ sệt vì mê tín
Eery	Sợ sệt vì mê tín
Efface	Xoá, xoá bỏ
Effacement	Sự xoá, sự xoá bỏ
Effectless	Không hiệu quả
Effectuate	Thực hiện, đem lại
Effervesce	Sủi, sủi bong bóng
Effete	Kiệt sức, mòn mỏi
Efficacy	Hiệu lực
Efficiency	Sản lượng
Effloresce	Nở hoa
Efflugent	Sáng người
Effluvia	Mùi thối, xú khí
Effluvium	Mùi thối, xú khí
Efflux	Sự tuôn ra
Effort	Sự cố thử làm
Effulge	Chiếu sáng
Effulgence	Sự sáng ngời
Effulgent	Sáng ngời
Effusion	Sự toả ra
Effusively	Dạt dào, nồng nàn
Egad	Bình quân chủ nghĩa
Egestion	Sự bài tiết
Eggshell	Vỏ trứng
Egohood	Nhân cách, cá tính
Egoistic	Vị kỷ, ích kỷ
Egoistical	Vị kỷ, ích kỷ
Egomaniac	Người cực kỳ ích kỷ
Egregious	Quá xá, đại, chí
Egress	Sự ra
Egression	Sự đi ra
Egressive	Rút ra khỏi
Eident	Nỗ lực
Eidola	Bóng ma
Eidolon	Bóng ma
Eighteenth	Thứ mười tám
Eighteeth	Một phần mười tám
Eightfold	Gấp tám lần
Eighthly	Tám là
Eightieth	Một phần tám mươi
Eightscore	Một trăm sáu mươi
Eightyfold	Gấp tám mươi lần
Eirenicon	Đề nghị hoà bình
Eis wool	Len bóng hai sợi
Eisa	Chuẩn EISA
Eiswool	Len cao cấp hai sợi
Ekka	Xe một ngựa
Elaborate	Phức tạp
Elaeometer	Cái đo dầu
Elastic	Đàn hồi, co giãn
Elasticate	Làm cho đàn hồi
Elastomer	Chất đàn hồi
Elatedly	Phấn khởi, hân hoan
Elater	Sợi đàn hồi
Elation	Niềm vui
Elbow	Khuỷu tay áo
Elchee	Sứ thần, đại sứ
Elder	Nhiều tuổi hơn
Elderly	Sắp già
Elect	Chọn lọc
Election	Sự chọn
Electorate	Toàn bộ cử tri
Electoress	Nữ cử tri
Electress	Nữ cử tri
Electrine	Hổ phách
Electrise	Cho nhiễm điện
Electrize	Cho nhiễm điện
Electrode	Cực, cực điện
Electron	Điện tử, êlêctron
Electrum	Hợp kim vàng bạc
Electuary	Thuốc tê
Elegantly	Thanh lịch, tao nhã
Elegiacs	Thơ bi thương
Elegise	Viết khúc bi thương
Elegist	Nhà thơ bi thương
Elegize	Viết khúc bi thương
Elegy	Khúc bi thương
Element	Phần tử, yếu tố
Elementary	Cơ bản, sơ yếu
Elemi	Dấu trám
Elemntary	Sơ cấp, cơ bản
Elench	Sự ngụy biện
Elevate	Đưa lên, nâng lên
Elevator	Máy nâng, máy trục
Eleventh	Một phần mười một
Elfin	Yêu tinh
Elfish	Yêu tinh
Eliminable	Bỏ được, khử được
Eliminant	Kết thúc
Eliminate	Khử bỏ, loại trừ
Eliminator	Bộ lọc loại
Elixir	Thuốc luyện đan
Ellipse	Elip
Ellipsoid	Elipxoit
Ellipticty	Tính eliptic
Elliptoid	Gần giống Elip
Elogist	Người tán dương
Elogy	Bài ca tụng
Elongate	Kéo dài ra, giãn ra
Elongation	Sự kéo dài, sự giãn
Elope	Trốn đi theo trai
Eloquence	Tài hùng biện
Eloquent	Hùng biện, hùng hồn
Eloquently	Hùng biện, hùng hồn
Else	Khác, nữa
Elsewhere	Ở một nơi nào khác
Elucidate	Giải thích
Elucidator	Người giải thích
Elucubrate	Làm cặm cụi
Elute	Tách rửa
Elutriate	Rửa sạch
Eluvium	Đá sót
Elves	Yêu tinh
Elvish	Yêu tinh
Elysian	Elysian
Emaciated	Gầy mòn, hốc hác
Email	Thư điện tử
Emanate	Phát ra, bắt nguồn
Emarginate	Không bờ
Emasculate	Thiến, hoạn
Embargo	Lệnh cấm vận
Embayed	Có hình dáng vịnh
Embayment	Vũng
Embed	Nhúng
Embedded	Được nhúng
Embedding	Phép nhúng
Embitter	Làm đắng
Emblement	Vụ lợi
Embodiment	Hiện thân
Embody	Là hiện thân của
Embolic	Lõm vào
Embonpoint	Sự béo tốt, đẫy đà
Embosom	Ôm vào ngực
Embosomed	Bị bao quanh
Embowel	Moi ruột
Embrace	Sự ôm, cái ôm
Embrave	Cổ vũ
Embroidery	Việc thêu
Embroil	Làm rối rắm
Embrown	Làm nâu, nhuộm nâu
Embryonal	Thuộc phôi
Emcee	Người chủ trì
Emerald	Ngọc lục bảo
Emeritus	Danh dự
Emery	Bột mài
Emigrant	Di cư
Emigrate	Di cư, di trú
Emigratory	Di cư
Eminence	Mô đất
Eminent	Nổi tiếng, xuất sắc
Eminently	Eminently
Emissivity	Độ phát xạ
Emit	Phát, phát hành
Emittance	Độ trưng
Emitter	Bộ phát xạ
Emolliate	Làm cho yếu đi
Emolument	Lương, tiền thù lao
Empale	Đâm qua, xiên qua
Emperor	Hoàng đế
Empery	Chủ quyền
Emphasise	Nhấn mạnh
Emphasize	Nhấn mạnh
Empicture	Biểu thị bằng tranh
Empire	Chế chế
Emplane	Cho lên máy bay
Emplastic	Dính
Employer	Chủ
Emplume	Trang sức lông chim
Empodium	Đế vuốt
Empoison	Làm nhiễm độc
Emporium	Nơi buôn bán, chợ
Empress	Hoàng hậu
Emprise	Hành động hào hiệp
Empty	Trống rỗng
Emptying	Sự làm cạn
Empyemic	Có mủ
Emulative	Thi đua
Emulator	Đối thủ
Emulously	Với ý thức thi đua
Emulsifier	Chất chuyển thể sữa
Emulsive	Ở thể sữa
Emulsoid	Chất thể sữa
Emulsoidal	Thuộc chất thể sữa
En bloc	Toàn bộ gộp cả lại
En masse	Nhất tề
En route	Đang trên đường đi
En suite	Định ngữ
Enable	Có thể
Enabling	Cho phép
Enamel	Lớp men
Enameling	Củng enamelling
Enamoured	Ham thích
Enation	Mấu nhú
Encalm	Làm cho yên tĩnh
Encampment	Sự cắm trại
Encaustic	Vẽ khắc nung
Encave	Giấu trong huyệt
Enceinte	Có chửa, có mang
