A b c	Bảng chữ cái
Ethology	Phong tục học
Ethoxy	Thuộc etoxila
Ethylenic	Xem ethylene
Ethylic	Hoá Etylic
Ethylize	Etyl hoá
Etiologic	Xem etiology
Etiologist	Xem etiology
Etiology	Thuyết nguyên nhân
Etiquette	Phép xã giao
Etna	Danh từ
Ettings	Vật thu được
Ettle	Thu được
Etymologer	Nhà từ nguyên học
Etymologic	Theo từ nguyên
Etymology	Từ nguyên
Eucalypti	Cây khuynh diệp, cây bạch đàn
Eucalyptol	Cũng eucalyptole
Eucalyptus	Cây khuynh diệp, cây bạch đàn
Eucentric	Bao quanh đoạn trung tâm
Eucharist	Lễ ban thánh thể
Euchroic	Thuộc hệ sắc tố bình thường
Eugenic	Ưu sinh
Eugenics	Thuyết ưu sinh
Eugenism	Ưu sinh luận
Eugenist	Người theo thuyết ưu sinh
Euglena	Trùng mắt
Euglenoid	Dạng tảo mắt dạng trùng mắt
Eugonic	Mọc dày đặc
Eulogise	Tán dương, khen ngợi, ca tụng
Eulogium	Số nhiều eulogia
Eulogize	Tán dương, khen ngợi, ca tụng
Eulogy	Bài tán dương, bài ca tụng
Eunuch	Quan hoạn
Eunuchism	Xem eunuch
Eupeptic	Tiêu hoá tốt
Euphemist	Xem euphemism
Euphemizer	Xem euphemize
Euphonic	Êm tai, thuận tai
Euphonical	Êm tai, thuận tai
Euphonious	Êm tai, thuận tai
Euphonism	Hài âm
Euphony	Tiếng êm tai
Euphoria	Trạng thái phởn phơ
Euphoric	Phởn phơ
Euphory	Trạng thái phởn phơ
Euphuistic	Cầu kỳ, kiểu cách
Euplankton	Sinh vật nổi ở biển
Euploid	Thể bội chỉnh
Euploidy	Tính thể bội chỉnh
Eupnoea	Cũng eupnea
Eupnoeic	Có hô hấp bình thường
Eureka	Thấy rồi!, tìm ra rồi!
Eurematics	Phát minh học
Eurhythmic	Đều đặn
Euritic	Microgranit
Euro	Số nhiều euros
Eurocheque	Séc phát hành toàn Âu châu
Eurodollar	Đô la Âu châu
European	Lan khắp Châu âu
Eurovision	Truyền hình cho toàn Châu âu
Eurythmic	Xem eurhythmic
Eurythmics	Xem eurhythmy
Eurythmy	Xem eurhythmy
Eusternum	Mảnh ức côn trùng
Eusystole	Tâm thu bình thường
Eutectoid	Cùng tích
Euterpean	Thuộc nữ thần âm nhạc
Euthanasia	Sự chết không đau đớn
Eutherian	Động vật có nhau
Euthyroid	Có tuyến giáp bình thường
Eutrophic	Dinh dưỡng tốt
Eutrophy	Sự dinh dưỡng tốt
Eutropic	Quang hải
Evacuant	Nhuận tràng
Evacuative	Xem evacuate
Evacuator	Xem evacuate
Evacuee	Người sơ tán, người tản cư
Evadable	Có thể tránh được
Evader	Xem evade
Evadible	Xem evade
Evaluate	Ước lượng, tính biểu thị
Evaluation	Sự đánh giá, sự ước lượng
Evaluative	Xem evaluate
Evaluator	Xem evaluate
Evalvate	Thiếu nắp
Evanesce	Mờ đi, biến đi
Evangelise	Truyền bá Phúc âm cho ai
Evangelism	Sự truyền bá Phúc âm
Evangelist	Tác giả Phúc âm
Evangelize	Truyền bá Phúc âm cho ai
Evaporable	Có thể bay hơi
Evaporate	Làm bay hơi
Evasively	Thoái thác, lảng tránh
Evener	Xem even
Evenfall	Lúc chiều tà
Evening	Buổi chiều, buổi tối, tối đêm
Evenly	Đều
Even-down	Xuống thẳng
Even-hand	Cùng địa vị
Evenness	Sự ngang bằng
Eventful	Có nhiều sự kiện quan trọng
Eventfully	Xem eventful
Eventing	Môn thể thao có dùng ngựa
Eventless	Xem event
Eventually	Cuối cùng, tính cho cùng
Eventuate	Hoá ra là, thành ra là
Ever	Hàng, từng
Everliving	Tồn tại vĩnh viễn, bất diệt
Evermore	Mãi mãi, đời đời
Eversible	Có thể lộn trong ra ngoài
Every	Mỗi, mọi
Every time	Lần nào cũng
Everybody	Mỗi người
Everyday	Hằng ngày, dùng hằng ngày
Everyman	Người thường dân
Everyone	Mỗi người
Everywhere	Khắp nơi
Evictee	Xem evict
Evidence	Sự rõ ràng
Evident	Rõ ràng
Evidential	Cung cấp bằng chứng
Evidently	Một cách rõ ràng, hiển nhiên
Evil	Xấu, ác, có hại
Evildoer	Kẻ bất lương
Evilly	Có hiểm ý, có ác ý
Evil-doer	Kẻ làm việc ác, kẻ làm hại
Evil-doing	Điều ác, việc ác
Evilness	Xem evil
Evincible	Có thể tỏ ra, có thể chứng tỏ
Evirate	Thiến, hoạn
Eviration	Sự thiến, sự hoạn
Eviscerate	Moi ruột
Evocable	Xem evoke
Evocation	Sự gọi lên, sự gợi lên
Evocative	Để gọi lên, để gợi lên
Evocator	Xem evocation
Evocatory	Để gọi lên, để gợi lên
Evolute	Đường pháp bao
Evolutive	Có xu hướng tiến triển
Evolvable	Xem evolve
Evolvent	Đường thân khai
Evulsion	Sự nhổ, sự lấy ra
Ewe-cheese	Pho mát sữa cừu
Ewe-lamb	Vật quí nhất
Ewer	Bình đựng nước
Ex animo	Thành thật, thành tâm
Ex officio	Mặc nhiên
Ex parte	Một bên, một phía
Exact	Chính xác, khớp, đúng
Exacter	Xem exact
Exactingly	Xem exacting
Exaction	Số tiền tống, số tiền đòi hỏi
Exactitude	[tính, độ] chính xác
Exactly	Chính xác, đúng đắn
Exactor	Người bóp nặn
Exalate	Không phần phụ dạng cánh
Exalted	Cao hứng
Exalter	Xem exalt
Examinable	Xem examine
Example	Ví dụ
Exanimate	Chết, bất động
Exanimo	Thành tâm
Exarchal	Xem exarch
Exarchate	Xem exarch
Excavate	Đào
Excavation	Hố đào
Excavator	Người khai quật
Exceed	Trội, vượt
Exceeding	Quá chừng
Excellence	Tính ưu tú
Excelsior	Luôn luôn tiến lên!
Excenter	Tâm đường tròn bàng tiếp
Excentric	Xem eccentric
Excepting	Trừ, không kể
Exception	Sự ngoại lệ
Exceptive	Ngoại lệ
Excerption	Sự trích, sự trích dẫn
Excessive	Quá mức, thừa
Exchange	Sự trao đổi, sự thay đổi
Excircle	Vòng tròn bàng tiếp
Excisable	Có thể đánh thuế được
Excise	Thuế hàng hoá, thuế môn bài
Excitably	Xem excitable
Excitative	Kích thích, để kích thích
Excitatory	Kích thích, để kích thích
Excited	Sôi nổi
Excitedly	Xúc động
Exciting	Kích thích, kích động
Excitingly	Hứng thú, thú vị
Excitor	Vật kích thích
Exclaim	Kêu lên, la lên
Exclaimer	Xem exclaim
Excludable	Xem exclude
Exclude	Loại trừ
Excluded	Bị loại trừ
Excluder	Xem exclude
Excludible	Xem exclude
Exclusive	Loại trừ
Excoriate	Làm tuột da, làm sầy da
Excoriator	Xem excoriate
Excrement	Cứt, phân
Excreta	Chất bài tiết, cứt, đái
Excretal	Xem excreta
Excrete	Bài tiết, thải ra
Excretion	Sự bài tiết, sự thải ra
Excretory	Như excretive
Excruciate	Làm đau đớn, hành hạ
Exculpable	Xem exculpate
Exculpate	Giải tội, bào chữa
Excurrent	Chảy ra
Excurse	Đi chơi
Excursion	Cuộc đi tham quan
Excusably	Đáng tha thứ
Excusatory	Để xin lỗi, để cáo lỗi
Excuse	Lý do để xin lỗi
Excuser	Xem excuse
Execrable	Bỉ ổi, rất đáng ghét
Execrably	Bỉ ổi, đáng tởm, đáng ghét
Execrator	Xem execrate
Executer	Xem execute
Executive	Chấp hành
Executory	Để thực hiện, để thi hành
Executress	Xem executress
Exedra	Số nhiều exedrae
Exegete	Nhà chú giải
Exegetics	Huấn hỗ học
Exemplar	Hình mẫu, bản
Exemplary	Gương mẫu, mẫu mực
Exemptible	Xem exempt
Exequial	Thuộc tang lễ
Exequies	Lễ tang
Exequy	Số nhiều exequies
Exercise	Bài tập
Exergonic	Sản lượng
Exes	Tiền phí tổn
Exfoliator	Xem exfoliate
Exhalation	Sự bốc lên, sự toả ra
Exhale	Bốc lên, toả ra
Exhaust	Vét kiệt
Exhauster	Máy hút gió
Exhausting	Làm kiệt sức, làm mệt lử
Exhaustion	Sự vét kiệt
Exhaustive	Vét kiệt
Exhibit	Vật trưng bày, vật triển lãm
Exhibiter	Xem exhibit
Exhibition	Cuộc triển lãm cuộc trưng bày
Exhibitive	Để trưng bày, để phô bày
Exhibitory	Phô trương, phô bày
Exhilarant	Làm vui vẻ, làm hồ hởi
Exhilarate	Làm vui vẻ, làm hồ hởi
Exhort	Hô hào, cổ vũ, thúc đẩy
Exhorter	Xem exhort
Exhumer	Xem exhume
Exigence	Nhu cầu cấp bách
Exigency	Nhu cầu cấp bách
Exigent	Cấp bách, khẩn cấp, cấp thiết
Exigently	Vòi vĩnh, kèo nèo
Exiguity	Tính nhỏ bé ít ỏi
Exiguous	Tính nhỏ bé ít ỏi
Exiguously	Xem exiguous
Exile	Sự đày ải, sự đi đày
Exilic	Xem exile
Exility	Tính mỏng manh, tính tế nhị
Exist	Tồn tại, có, hiện hành
Existence	Sự tồn tại
Existent	Tồn tại
Existing	Hiện nay
Exit	Lối ra
Ex-nihilo	Từ hư vô
Ex-service	Giải ngũ, phục viên
Ex-siccant	Sấy khô
Exobiology	Sinh học ngoài trái đất
Exocardiac	Ngoài tim
Exocardial	Ngoài tim
Exodermis	Lớp biểu bì
Exodic	Ly tâm
Exodontia	Ngành nhổ răng
Exoergic	Phát ra năng lượng
Exogamic	Xem exogamy
Exogamous	Ngoại hôn
Exogamy	Chế độ ngoại hôn
Exogenitic	Ngoại sinh
Exogenous	Ngoại lệ
Exonic	Xem exon
Exorcise	Yểm trừ, xua đuổi
Exorciser	Xem exorcise
Exosmosis	Sự thấm lọc ra
Exosmotic	Xem exosmosis
Exosphere	Phần bên ngoài khí quyển
Exospheric	Thuộc quyển ngoài
Exosporous	Thuộc bào tử
Exoteric	Công khai
Exoterics	Các sách lý luận công khai
Exotheca	Vỏ ngoài
Exotica	Vật quí hiếm, lạ
Exotically	Xem exotic
Exoticness	Xem exotic
Exotropic	Hướng ra khỏi trục
Exotropism	Tính hướng ra ngoài
Expand	Mở rộng, khai triển
Expandable	Xem expand
Expanded	Khuếch đại
Expatriate	Eks'pætrieit/
Expect	Chờ đợi, hy vọng, kỳ vọng
Expectable	Xem expect
Expectably	Xem expect
Expected	Được chờ đợi hy vọng
Expectedly	Xem expect
Expedience	Tính thích hợp
Expediency	Tính thích hợp
Expedient	Thích hợp
Expedite	Xúc tiến
Expediter	Xem expedite
Expedition	Đội viễn chinh
Expeditor	Xem expedite
Expellent	Để tống ra, để bật ra
Expeller	Xem expel
Expend	Tiêu dụng, sử dụng
Expensive	Đắt tiền
Experience	Kinh nghiệm
Expertise	Sự thành thạo, sự tinh thông
Expertly	Thông thạo, thành thạo
Expiration	Sự thở ra
Expire	Thở ra
Expiring	Thở ra
Expiry	Sự mãn hạn, sự kết thúc
Explain	Giải thích
Explanate	Trải phẳng
Explant	Cấy mô khỏi sinh vật
Expletive	Chêm vào, phụ thêm
Explicably	Xem explicable
Explicate	Giải thích, thuyết minh
Explicator	Xem explicate
Explicitly	Rõ ràng, dứt khoát
Explode	Làm nổ
Exploder	Xem explode
Exploit	Lợi dụng, bóc lột
Exploitage	Sự khai thác, sự khai khẩn
Exploitive	Xem exploit
Explore	Thám hiểm, nghiên cứu
Exploring	Sự thám hiểm
Explosible	Có thể nổ
Exponent	Chỉ tiêu
Exponible	Có thể thuyết minh
Exportable	Có thể xuất khẩu
Exporter	Hàng xuất khẩu
Exposal	Sự bộc lộ, sự phơi bày
Expose	Trình bày
Exposer	Xem expose
Exposé	Bản trình bày sự kiện
Expound	Trình bày chi tiết
Expounder	Người dẫn giải
Express	Biểu thị
Expressage	Sự vận chuyển tốc hành
Expresser	Xem express
Expression	Biểu thức
Expressive	Có ý nghĩa
Expressly	Cốt để
Expressman	Người lái xe lửa tốc hành
Expressway	Như motorway
Expunger	Xem expunge
Exquisite	Thanh, thanh tú
Exsanguine	Thiếu máu
Exsect	Cắt bỏ
Exsection	Sự cắt bỏ
Exsertile	Đẩy ra
Exsertion	Xem exsert
Exsiccata	Tiêu bản khô
Exsiccate	Làm khô héo
Exsiccator	Bình hút ẩm
Extasy	Trạng thái mê ly
Extemporal	Ứng khẩu
Extempore	Ứng khẩu, tuỳ ứng
Extend	Khuếch
Extendible	Có thể đưa ra
Extensed	Được mở rộng, được kéo dài
Extension	Sự giãn được, sự khuếch
Extensity	Tính không gian
Extensive	Rộng rãi
Extent	Kích thước, ngoại diện
Extenuator	Xem extenuate
Exterior	Bên ngoài, ngoại
Exteriorly	Xem exterior
Externally	Theo bên ngoài, theo bề ngoài
Extinctive	Để làm mất đi
Extol	Tán dương, ca tụng
Extolment	Lời tán dương, lời ca tụng
Extorsive	Cưỡng đoạt
Extortive	Để moi
Extra	Đặc biệt hơn
Extractive	Để chiết
Extraheavy	Cực nặng
Extrality	Xem exterritoriality
Extraneous	Ngoại lai
Extravert	Xem extrovert
Extreme	Cực trị ở đầu mút, cực hạn
Extremism	Chủ nghĩa cực đoan
Extremist	Người cực đoan
Extremity	Đầu, mũi
Extremum	Cực trị
Extricate	Gỡ, gỡ thoát, giải thoát
Extrinsic	Nằm ở ngoài, ngoài
Extrose	Quay ra ngoài
Extrude	Đẩy ra, ấn ra, ẩy ra
Extrusion	Sự đẩy ra, sự ấn ra, sự ẩy ra
Extrusive	Để đẩy ra, để ấn ra, để ẩy ra
Exuberate	Đầy dẫy
Exudate	Chất dò rỉ
Exudation	Sự rỉ, sự ứa
Exudative	Xem exudation
Exude	Rỉ, ứa
Exulation	Nỗi hớn hở
Exultance	Xem exult
Exultancy	Nỗi hớn hở
Exultantly	Hớn hở, hân hoan
Exultation	Nỗi hớn hở
Exultingly	Xem exult
Exurb	Ngoại ô
Exurban	Thuộc ngoại ô
Exuviation	Sự lột vỏ
Eyeable	Nhìn được
Eyeball	Cầu mắt, nhãn cầu
Eyebrow	Lông mày
Eyeful	Cái bị ném hoặc thảy vào mắt
Eyeglance	Cái liếc mắt
Eyeglass	Số nhiều là eyeglasses
Eyeground	Đáy mắt
Eyeless	Không có mắt
Eyelid	Mi mắt
Eyelike	Giống con mắt
Eye-bath	Cái chén rửa mắt
Eye-beam	Ánh mắt
Eye-copy	Chép lại theo mắt nhìn
Eye-cup	Cái chén rửa mắt
Eye-doctor	Bác sĩ chữa mắt
Eye-glass	Mắt kính
Eye-level	Ngang tầm mắt
Eye-liner	Sự trang điểm mắt
Eye-opener	Điều làm mờ mắt
Eye-pit	Hố mắt
Eye-shadow	Mỹ phẩm bôi vào mí mắt
Eye-shot	Tầm nhìn
Eye-tooth	Răng nanh
Eye-water	Thuốc nhỏ, rửa mắt
Eye-wink	Cái nhìn, cái liếc mắt
Eyeshot	Tầm nhìn
Eyesight	Sức nhìn, thị lực
Eyesocket	Ổ mắt
Eyesore	Vật chướng mắt
Eyewash	Thuốc rửa mắt
Eyewater	Thuốc rửa mắt
Eyslash	Lông mi
Fabaceous	Thuộc họ đậu
Fabian	Trì hoãn, kéo dài
Fabiform	Dạng hạt đậu
Fable	Truyện ngụ ngôn
Fabric	Cơ cấu, cấu trúc
Fabricate	Làm giả
Fabricated	Nhà đúc sãn
Fabricator	Người bịa đặt
Fabulize	Nói bịa
Fabulous	Bịa đặt, hoang đường
Face	Bề mặt
Facebook	Facebook
Faceless	Vô danh
Face-ache	Đau dây thần kinh đầu
Face-ague	Xem face-ache
Face-cloth	Khăn mặt
Face-pack	Kem thoa mặt
Face-plate	Tấm mặt
Face-saver	Sự giữ thể diện
Facer	Cú đấm vào mặt
Facet	Mặt, diện
Facially	Về khuôn mặt
Facies	Số nhiều facies
Facile	Đơn giản
Facsimile	Bản sao, bản chép
Fact	Sự việc in f.thật ra
Faction	Bè phái, bè cánh
Factional	Có tính chất bè phái
Factious	Do bè phái gây ra
Factitious	Giả tạo, không tự nhiên
Facto	Trong thực tế
Factorage	Sự buôn bán ăn hoa hồng
Factorgram	Biểu đồ nhân tử, nhân tử đồ
Factorial	Nhân tố
Factorship	Nghề làm đại lý hãng buôn
Factory	Nhà máy, xưởng
Factotum	Người quản gia
Factual	Thực sự, có thật
Factum	Bản trình bày sự việc
Faculative	Tuỳ ý, không bắt buộc
Fadaise	Không thú vị
Faddish	Kỳ cục, dở hơi, gàn
Faddism	Thói kỳ cục, thói dở hơi
Faddist	Người thích những cái dở hơi
Faddy	Kỳ cục, dở hơi, gàn
Fade	Làm
Fading	Sự phai màu
Faeces	Cặn, chất lắng
Faerie	Cảnh tiên, thiên thai
Faery	Cảnh tiên, thiên thai
Fagger	Người nô dịch kẻ khác
Fagot	Bó củi
Fagoting	Sự bỏ
Fahrenheit	Cái đo nhiệt Fa-ren-hét
Faience	Sứ
Failing	Sự thiếu
Fail-safe	Dự phòng để bảo đảm an toàn
Fail-year	Năm mất mùa
Fain	Xin miễn
Faineancy	Xem faineance
Fains	Xin miễn
Fainting	Sự ngất choáng
Faintish	Yếu dần
Faintly	Yếu ớt, uể oải
Fair	Hội chợ, chợ phiên
Fair copy	Bản chép sạch
Fairily	Như tiên, thần tiên
Fairing	Quà biếu mua ở chợ phiên
Fairish	Kha khá, tàm tạm
Fair-faced	Mặt mày trắng trẻo
Fair-maid	Cá xacddin hun khói
Fairydom	Tiên chức
Fairyhood	Tiên chức
Fairyism	Đạo thờ tiên
Fairy-land	Chốn thần tiên
Fairy-like	Đẹp như tiên
Fairy-tale	Chuyện tiên, chuyện thần kỳ
Faith	Sự tin tưởng, sự tin cậy
Faithful	Chính xác
Faithfully	Trung thành, chung thuỷ
Faithless	Không có niềm tin, vô đạo
Faith-cure	Phép chữa bệnh bằng lòng tin
Faitour	Người xảo trá, người bịp bợm
Fakement	Sự làm giả
Faker	Kẻ giả mạo, kẻ lừa đảo
Fakery	Sự làm giả
Fakir	Fakia, thầy tu khổ hạnh
Falbala	Viền đăng ten, riềm ren
Falcation	Tình trạng có dạng liềm
Falchion	Mã tấu
Falconer	Người nuôi chim ưng
Falconine	Thuộc chim ưng
Falconry	Thuật nuôi chim ưng
Falcula	Có vuốt dạng liềm
Falderal	Vật nhỏ mọn
Faldstool	Ghế cầu kinh
Falernian	Rượu vang falec
Faliscan	Phương ngữ Falisi ở Italia
Fall	Cột nước, bậc nước, thác nước
Fallacy	Nguỵ lý, nguỵ biện
Fallal	Đồ trang sức rẻ tiền
Fallback	Sự rút lui
Fallible	Có thể là sai
Fall-back	Rút lui
Fall-cloud	Tầng mây thấp
Fall-door	Cửa treo
Fall-out	Phóng xạ nguyên tử
Fall-trap	Hầm sập để bắt thú
Fallow	Đất bỏ hoang
Fal-lal	Vật trang trí
False step	Bước lỡ, bước hụt
Falsely	Sa lầm
Falseness	Sự sai lầm
Falsidial	Dối trá
Falt tire	Lốp bẹp, lốp xì hơi
Falt-boat	Thuyền đáy bằng
Faltung	Tích chập
Falx	Số nhiều falces
Famed	Nổi tiếng, lừng danh
Familiar	Thông thường
Familiarly	Thân mật
Family	Họ, tập hợp, hệ thống
Family man	Người có gia đình
Famine	Nạn đói kém
Famish	Đói khổ cùng cực
Famous	Nổi tiếng, nổi danh, trứ danh
Famousness	Sự nổi tiếng, sự nổi danh
Famuli	Người phụ việc cho pháp sư
Famulus	Người phụ việc cho pháp sư
Fan mail	Thư của các người hâm mộ
Fanatic	Người cuồng tín
Fanatical	Người cuồng tín
Fanaticise	Làm thành cuồng tín
Fanaticism	Sự cuồng tín
Fanaticize	Làm thành cuồng tín
Fancier	Người thích chơi
Fanciful	Thích kỳ lạ
Fancifully	Kỳ lạ, lạ thường
Fanciless	Không có sức tưởng tượng
Fancy	Sự tưởng tượng
Fancy man	Người yêu
Fancy!	Thành ngữ fancy
Fancy-ball	Vũ hội hoá trang
Fancy-dog	Con chó ngộ nghĩnh
Fancy-fair	Việc bán hàng từ thiện
Fancy-work	Đồ thêu thùa
Fandangle	Vật trang trí kỳ lạ
Fanged	Có răng nanh
Fangless	Không có răng nanh
Fanion	Lá cờ nhỏ
Fanlight	Cửa sổ hình bán nguyệt
Fan-letter	Bức thư gửi viết trên quạt
Fan-like	Hình quạt
Fan-mail	Thư của người hâm mộ
Fan-shaped	Dạng quạt
Fan-stick	Nan quạt
Fan-tail	Đuôi hình quạt
Fan-tan	Xóc đĩa
Fan-wise	Hình quạt mở rộng
Fanner	Người quạt
Fantail	Chim bồ câu đuôi quạt
Fantasied	Chỉ có trong trí tưởng tượng
Fantasize	Mơ màng viển vông
Fantasm	Ảo ảnh
Fantast	Người ảo tưởng, người mơ mộng
Fantastic	Kỳ quái, quái dị, lập dị
Fantasy	Hình ảnh tưởng tượng
Fantoccini	Con rối
Faquir	Fakia, thầy tu khổ hạnh
Faradaism	Xem faradization
Farallon	Số nhiều farallones
Farandola	Cũng farandole
Farcically	Khôi hài, lố bịch
Fardel	Gói, bọc
Farewell	Tam biệt!
Farinose	Có bột
Far-away	Xa xưa
Far-famed	Lừng danh, nổi tiếng khắp nơi
Far-flung	Xa, rộng, trải rộng bao la
Far-gone	Quá mức, quá thể, quá xá
Far-off	Xa xưa
Far-seeing	Biết lo xa
Farm	Trại, trang trại, đồn điền
Farmer	Người nông dân
Farmery	Nông trang
Farmland	Đất chăn nuôi, trồng trọt
Farm-hand	Công nhân nông trường
Farmost	Xa nhất
Farmstead	Trang trại
Farmyard	Sân trại
Farrago	Đống lẫn lộn, mớ lộn xộn
Farrier	Thợ đóng móng ngựa
Farriery	Nghề đóng móng ngựa
Fart	Đùi 0 rắm
Farther	Xa hơn
Fascial	Xem fascia chỉ thuộc về
Fascinate	Thôi miên, làm mê
Fascinator	Người thôi miên
Fascine	Bó cành để làm cừ
Fascio	Số nhiều fasci
Fasciola	Vân màu hẹp
Fasciole	Dải lông rung
Fascisize	Phát xít hoá
Fascism	Chủ nghĩa phát xít
Fascist	Phần tử phát xít
Fascista	Số nhiều fascisti
Fascistic	Phát xít
Fascitize	Phát xít hoá
Fascize	Phát xít hoá
Fashion	Hình dáng
Fashioned	Theo kiểu hình thức nào đấy
